# Made by hand May 16th, 2022
# Time is in ISO format (YYYY-MM-DDTHH:MM)
RUN,START_TIME,END_TIME,HCAL_K_EVENTS,BEAM_ENERGY_GEV,BEAM_TYPE
125,"2022-04-15T15:15","2022-04-15T15:37",118,4,"muon"
134,"2022-04-15T17:03","2022-04-15T20:00",94,0.5,"electron"
135,"2022-04-15T21:48","2022-04-15T22:59",104,1,"electron"
136,"2022-04-15T23:00","2022-04-16T07:00",420,2,"pion+"
158,"2022-04-16T19:24","2022-04-16T20:33",101,0.5,"pion-"
159,"2022-04-16T20:36","2022-04-16T21:47",101,1,"pion-"
160,"2022-04-16T22:07","2022-04-16T23:35",100,4,"pion-"
162,"2022-04-16T23:05","2022-04-17T00:04",104,8,"pion-"
163,"2022-04-17T00:15","2022-04-17T05:00",490,2,"pion-"
164,"2022-04-17T09:40","2022-04-17T10:42",105,2,"electron"
205,"2022-04-19T11:52","2022-04-19T12:50",131,4,"muon"
206,"2022-04-19T13:06","2022-04-19T22:02",505,0.5,"pion-"
207,"2022-04-19T22:33","2022-04-20T01:09",130,2,"pion-"
208,"2022-04-20T01:14","2022-04-20T06:15",500,2,"pion-"
209,"2022-04-20T06:19","2022-04-20T07:41",206,2,"pion-"
210,"2022-04-20T07:59","2022-04-20T11:30",-1,1,"pion-"
211,"2022-04-20T11:40","2022-04-20T13:07",137,1,"pion-"
213,"2022-04-20T13:18","2022-04-20T14:45",104,4,"pion-"
215,"2022-04-20T15:16","2022-04-20T16:37",17,8,"pion-"
216,"2022-04-20T16:37","2022-04-20T20:33",39,8,"pion-"
217,"2022-04-20T20:42","2022-04-20T21:05",3.8,8,"pion-"
220,"2022-04-20T22:07","2022-04-21T07:03",743,4,"electron"
224,"2022-04-21T14:04","2022-04-21T14:56",278,-1,"defocused muon"
232,"2022-04-22T02:25","2022-04-22T04:41",171,2,"pion-"
233,"2022-04-22T04:42","2022-04-22T06:57",161,2,"pion-"
281,"2022-04-24T23:29","2022-04-24T23:38",51,4,"muon"
282,"2022-04-24T23:40","2022-04-25T00:15",34,8,"hadron"
284,"2022-04-25T04:47","2022-04-25T07:00",788,1,"pion-"
285,"2022-04-25T07:06","2022-04-25T08:13",145,1,"pion-"
286,"2022-04-25T08:31","2022-04-25T09:27",900,2,"pion-"
287,"2022-04-25T11:20","2022-04-25T11:35",265,4,"defocused muon"
288,"2022-04-25T11:44","2022-04-25T13:29",113,4,"pion-"
290,"2022-04-25T15:59","2022-04-25T19:25",112,"pion-"
291,"2022-04-25T19:26","2022-04-25T21:37",118,0.2,"pion-"
292,"2022-04-25T23:00","2022-04-25T23:07",0.7106,0.1,"pion-"
293,"2022-04-25T23:08","2022-04-26T01:15",191,0.3,"pion-"
294,"2022-04-26T01:22","2022-04-26T02:59",199,0.3,"pion-"
296,"2022-04-26T05:42","2022-04-26T07:07",178,0.3,"pion-"
297,"2022-04-26T07:19","2022-04-26T08:57",103,0.5,"pion-"
298,"2022-04-26T09:40","2022-04-26T09:41",0.1,0.1,"pion-"
299,"2022-04-26T13:20","2022-04-26T14:22",221,4,"electron"
300,"2022-04-26T14:23","2022-04-26T15:17",87,4,"electron"
301,"2022-04-26T15:28","2022-04-26T16:23",100,1,"electron"
302,"2022-04-26T16:24","2022-04-26T17:28",106,0.5,"electron"
303,"2022-04-26T17:41","2022-04-26T19:09",111,0.4,"electron"
304,"2022-04-26T19:11","2022-04-26T20:43",69,0.3,"electron"
305,"2022-04-26T20:46","2022-04-26T21:44",48,0.3,"electron"
307,"2022-04-26T22:26","2022-04-26T23:01",38,0.3,"electron"
309,"2022-04-26T23:12","2022-04-27T00:25",150,3,"pion-"
310,"2022-04-27T00:25","2022-04-27T01:38",158,3,"pion-"
311,"2022-04-27T01:35","2022-04-27T02:42",156,3,"pion-"
312,"2022-04-27T04:40","2022-04-27T05:58",144,3,"pion-"
313,"2022-04-27T05:58","2022-04-27T06:55",132,3,"pion-"
314,"2022-04-27T06:55","2022-04-27T07:47",60,3,"pion-"
315,"2022-04-27T07:47","2022-04-27T08:00",18,3,"pion-"
