# Made by hand May 16th, 2022
# TS_EVENTS are in thousands
RUN,TS_EVENTS
134,180
135,239
136,2381
163,3000
164,340
173,111
175,200
176,101
177,108
179,177
180,115
181,144
182,200
183,112
184,167
185,116
186,100
187,127
188,201
189,103
190,100
191,100
192,100
193,108
194,102
195,100
196,46
197,102
198.116
199,130
205,171
208,2500
209,1264
211,425
213,628
216,39
217,4
220,2400
224,712
225,165
226,101
227,102
228,100
229,35
232,1050
233,1000
281,117
282,158
284,2000
285,405
287,663
288,689
289,109
290,553
291,351
292,0.7136
293,948
294,974
296,878
297,330
299,664
301,285
302,221
303,186
304,84
305,59
307,46
309,921
310,969
311,961
312,883
313,811
314,374
315,374
