DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18880103,102.145,1.711
0x18880102,103.328,1.835
0x18880101,95.001,2.306
0x18880100,104.135,2.061
0x18800103,91.067,1.626
0x18800102,91.572,1.693
0x18800101,94.45,1.591
0x18800100,94.915,1.625
0x18880107,105.216,2.5
0x18880106,105.069,2.523
0x18880105,92.584,2.172
0x18880104,94.964,2.054
0x18800107,99.735,2.585
0x18800106,102.392,2.238
0x18800105,98.531,2.382
0x18800104,103.385,2.381
0x18880203,106.749,2.468
0x18880202,104.047,2.481
0x18880201,101.938,2.079
0x18880200,95.139,1.722
0x18800203,105.978,2.742
0x18800202,95.372,2.468
0x18800201,96.301,2.435
0x18800200,94.968,2.091
0x18880207,103.541,2.26
0x18880206,101.749,2.386
0x18880205,94.259,2.127
0x18880204,94.671,1.992
0x18800207,106.333,2.691
0x18800206,106.792,2.42
0x18800205,95.096,1.792
0x18800204,92.891,2.19
0x18880303,94.676,3.912
0x18880302,107.577,3.948
0x18880301,91.864,4.04
0x18880300,95.834,3.951
0x18800303,101.415,3.832
0x18800302,97.533,3.819
0x18800301,90.701,3.884
0x18800300,90.982,3.854
0x18880307,95.207,4.397
0x18880306,105.766,4.731
0x18880305,104.191,4.607
0x18880304,98.212,4.638
0x18800307,99.098,4.298
0x18800306,98.576,4.239
0x18800305,105.134,4.372
0x18800304,92.045,4.678
0x18880400,95.019,4.385
0x18880401,100.778,4.177
0x18880402,100.487,3.932
0x18880403,97.62,4.239
0x18800400,105.561,4.688
0x18800401,102.253,4.392
0x18800402,106.582,4.744
0x18800403,99.6,4.406
0x18880404,94.351,4.21
0x18880405,93.278,4.378
0x18880406,96.285,3.855
0x18880407,93.404,4.249
0x18800404,100.235,4.358
0x18800405,95.634,4.398
0x18800406,95.773,4.295
0x18800407,103.321,4.14
0x18880503,101.39,2.437
0x18880502,101.755,2.543
0x18880501,107.58,2.323
0x18880500,97.858,2.343
0x18800503,95.976,1.887
0x18800502,94.444,1.691
0x18800501,88.656,1.804
0x18800500,104.45,1.899
0x18880507,90.005,2.219
0x18880506,95.487,2.045
0x18880505,92.291,2.048
0x18880504,93.019,1.846
0x18800507,91.156,1.998
0x18800506,103.412,2.326
0x18800505,104.925,2.253
0x18800504,106.294,2.194
0x18880600,100.283,2.353
0x18880601,96.97,2.403
0x18880602,101.633,2.24
0x18880603,94.616,1.689
0x18800600,107.858,2.21
0x18800601,92.521,2.085
0x18800602,102.546,2.231
0x18800603,96.47,2.401
0x18880604,106.303,2.316
0x18880605,91.571,1.598
0x18880606,109.32,2.079
0x18880607,96.493,2.118
0x18800604,96.54,2.089
0x18800605,104.086,2.173
0x18800606,102.807,2.218
0x18800607,94.275,1.753
0x18880703,90.037,1.507
0x18880702,96.619,1.673
0x18880701,90.106,1.566
0x18880700,100.237,1.873
0x18800703,100.356,1.452
0x18800702,92.089,1.468
0x18800701,92.954,1.278
0x18800700,98.446,1.515
0x18880707,104.187,1.854
0x18880706,99.518,1.988
0x18880705,101.994,1.781
0x18880704,95.782,1.734
0x18800707,91.453,1.839
0x18800706,164.567,7.161
0x18800705,102.704,1.713
0x18800704,101.277,1.793
0x18880800,100.928,1.827
0x18880801,104.361,1.672
0x18880802,103.252,1.607
0x18880803,92.484,1.605
0x18800800,102.303,1.518
0x18800801,98.802,1.722
0x18800802,94.748,1.678
0x18800803,95.341,1.564
0x18880804,104.759,1.943
0x18880805,104.334,1.819
0x18880806,95.962,1.739
0x18880807,94.044,1.707
0x18800804,93.231,1.72
0x18800805,95.271,1.515
0x18800806,102.996,1.772
0x18800807,102.487,1.8
0x18880903,102.007,2.464
0x18880902,100.674,3.219
0x18880901,88.879,3.099
0x18880900,95.44,2.953
0x18800903,95.81,3.057
0x18800902,101.316,3.3
0x18800901,94.785,2.627
0x18800900,94.284,2.93
0x18880907,100.072,3.478
0x18880906,96.422,3.147
0x18880905,107.608,2.619
0x18880904,106.92,2.161
0x18800907,103.591,2.681
0x18800906,101.225,2.995
0x18800905,108.622,2.235
0x18800904,101.668,3.238
0x18880a00,90.937,3.201
0x18880a01,107.54,3.171
0x18880a02,92.39,2.367
0x18880a03,98.086,3.833
0x18800a00,93.712,3.511
0x18800a01,90.51,3.26
0x18800a02,99.219,3.032
0x18800a03,104.764,3.089
0x18880a04,97.979,3.419
0x18880a05,94.69,3.055
0x18880a06,94.472,2.97
0x18880a07,102.096,3.255
0x18800a04,104.023,3.332
0x18800a05,97.996,3.225
0x18800a06,93.47,2.909
0x18800a07,90.31,3.663
0x18880a08,92.845,2.606
0x18880a09,94.209,1.99
0x18880a0a,92.91,2.177
0x18880a0b,94.968,1.984
0x18800a08,95.771,2.502
0x18800a09,94.599,2.097
0x18800a0a,93.578,2.188
0x18800a0b,96.799,2.036
0x18880b03,100.939,2.011
0x18880b02,95.369,2.567
0x18880b01,106.278,1.725
0x18880b00,95.082,2.597
0x18800b03,105.206,1.92
0x18800b02,101.825,1.964
0x18800b01,94.726,2.361
0x18800b00,106.36,2.276
0x18880b07,100.929,2.252
0x18880b06,107.112,1.856
0x18880b05,107.026,1.877
0x18880b04,104.685,1.812
0x18800b07,107.664,1.988
0x18800b06,94.553,2.487
0x18800b05,92.393,2.687
0x18800b04,93.052,2.663
0x18880b0b,98.286,2.495
0x18880b0a,98.07,2.221
0x18880b09,105.15,1.955
0x18880b08,101.782,1.84
0x18800b0b,108.06,2.107
0x18800b0a,105.017,2.041
0x18800b09,102.764,2.046
0x18800b08,97.821,2.191
0x18880c00,104.47,2.409
0x18880c01,96.002,2.32
0x18880c02,92.618,2.07
0x18880c03,95.1,1.772
0x18800c00,95.341,2.126
0x18800c01,99.451,2.365
0x18800c02,101.251,2.187
0x18800c03,107.672,2.175
0x18880c04,99.323,2.558
0x18880c05,108.92,2.08
0x18880c06,96.373,2.18
0x18880c07,94.123,1.948
0x18800c04,97.331,2.51
0x18800c05,100.965,2.374
0x18800c06,94.112,1.802
0x18800c07,94.342,1.521
0x18880c08,92.95,2.204
0x18880c09,101.806,2.306
0x18880c0a,110.489,2.044
0x18880c0b,95.206,1.93
0x18800c08,109.135,2.069
0x18800c09,91.718,2.136
0x18800c0a,105.397,2.103
0x18800c0b,93.66,2.19
0x18880d03,101.741,2.244
0x18880d02,97.352,2.448
0x18880d01,94.734,1.473
0x18880d00,102.559,2.012
0x18800d03,109.697,2.198
0x18800d02,99.328,2.553
0x18800d01,98.173,2.536
0x18800d00,92.214,2.069
