# Source file pedestal_DPM0_20220415_105328.raw
# Produced 2022-05-03 01:42:28 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,   72.492,    2.676
0x18800101,  120.795,    2.159
0x18800102,   67.439,    1.811
0x18800103,   72.951,    1.733
0x18800104,   78.138,    1.609
0x18800105,   70.243,    1.569
0x18800106,   83.713,    2.364
0x18800107,  137.199,    2.001
0x18800200,   98.436,    2.320
0x18800201,   64.340,    2.113
0x18800202,  118.274,    2.577
0x18800203,  105.526,    2.426
0x18800204,   45.618,    1.989
0x18800205,   53.219,    2.624
0x18800206,   32.958,    1.897
0x18800207,   95.179,    2.442
0x18800300,   36.132,    2.705
0x18800301,   60.612,    2.355
0x18800302,   69.436,    1.896
0x18800303,   39.852,    1.808
0x18800304,   44.584,    1.865
0x18800305,   75.954,    2.486
0x18800306,   17.299,    1.769
0x18800307,  104.304,    1.799
0x18800400,   52.139,    2.952
0x18800401,  112.888,    2.425
0x18800402,   57.072,    1.555
0x18800403,   69.189,    2.533
0x18800404,   57.751,    2.636
0x18800405,   64.355,    1.372
0x18800406,   56.752,    2.059
0x18800407,   64.053,    1.574
0x18800500,   46.986,    1.526
0x18800501,   36.205,    2.079
0x18800502,   50.901,    2.197
0x18800503,   66.644,    2.370
0x18800504,   39.165,    1.632
0x18800505,  107.740,    2.161
0x18800506,   86.752,    1.926
0x18800507,   94.572,    2.121
0x18800600,   72.033,    2.305
0x18800601,   98.319,    2.779
0x18800602,   81.568,    1.857
0x18800603,  132.499,    1.488
0x18800604,   95.745,    1.847
0x18800605,   72.419,    2.304
0x18800606,   71.643,    2.065
0x18800607,   45.110,    2.248
0x18800700,   71.631,    1.794
0x18800701,   67.440,    1.685
0x18800702,   53.454,    2.098
0x18800703,   81.124,    1.924
0x18800704,   63.577,    1.689
0x18800705,   52.520,    1.768
0x18800706,   78.944,    1.904
0x18800707,   72.038,    1.815
0x18800800,   91.977,    2.070
0x18800801,   33.434,    1.829
0x18800802,   66.391,    1.663
0x18800803,   52.310,    2.187
0x18800804,   44.371,    1.774
0x18800805,   55.270,    2.062
0x18800806,  100.702,    1.547
0x18800807,   48.905,    2.390
0x18800900,   71.250,    2.955
0x18800901,   44.065,    1.956
0x18800902,   82.769,    2.843
0x18800903,   52.483,    2.168
0x18800904,   72.627,    2.741
0x18800905,   58.873,    2.823
0x18800906,  118.550,    2.509
0x18800907,   95.785,    2.423
0x18800a00,   89.688,    1.587
0x18800a01,  103.044,    1.969
0x18800a02,   53.636,    2.144
0x18800a03,   79.725,    2.650
0x18800a04,   84.084,    2.452
0x18800a05,   43.776,    2.103
0x18800a06,   58.193,    1.951
0x18800a07,   47.587,    2.851
0x18800a08,   54.895,    2.216
0x18800a09,   80.311,    2.161
0x18800a0a,   52.991,    2.002
0x18800a0b,   83.851,    1.437
0x18800b00,   54.529,    2.070
0x18800b01,   47.123,    1.680
0x18800b02,   49.982,    2.327
0x18800b03,   77.503,    2.196
0x18800b04,   76.713,    2.264
0x18800b05,   23.144,    1.700
0x18800b06,   46.256,    1.879
0x18800b07,   59.589,    1.658
0x18800b08,   46.644,    1.973
0x18800b09,   57.683,    1.428
0x18800b0a,   65.202,    2.311
0x18800b0b,   34.377,    2.530
0x18880100,   67.002,    2.015
0x18880101,   89.886,    1.958
0x18880102,   89.379,    1.793
0x18880103,   56.005,    2.411
0x18880104,   87.373,    2.056
0x18880105,   60.580,    2.553
0x18880106,   36.024,    1.831
0x18880107,   95.290,    1.564
0x18880200,   59.930,    2.874
0x18880201,   63.239,    2.225
0x18880202,  124.970,    2.463
0x18880203,   77.721,    1.852
0x18880204,   77.716,    1.866
0x18880205,   82.342,    1.881
0x18880206,   71.271,    1.662
0x18880207,   74.145,    2.247
0x18880300,   72.294,    1.449
0x18880301,   85.552,    1.812
0x18880302,   40.478,    2.116
0x18880303,   57.234,    2.076
0x18880304,   46.736,    2.603
0x18880305,   71.582,    2.447
0x18880306,   30.409,    2.294
0x18880307,   63.592,    2.133
0x18880400,   86.528,    1.860
0x18880401,   72.506,    2.524
0x18880402,   57.790,    2.228
0x18880403,   62.189,    2.466
0x18880404,  117.647,    1.471
0x18880405,   68.474,    1.713
0x18880406,   89.162,    1.885
0x18880407,   23.561,    2.477
0x18880500,  149.919,    2.568
0x18880501,   71.275,    2.583
0x18880502,   64.407,    2.227
0x18880503,   62.730,    2.204
0x18880504,  154.819,    2.090
0x18880505,   71.819,    1.858
0x18880506,  100.561,    2.265
0x18880507,  105.822,    2.086
0x18880600,   78.436,    1.863
0x18880601,   71.552,    1.687
0x18880602,   67.698,    2.026
0x18880603,   76.293,    1.972
0x18880604,  139.302,    1.527
0x18880605,   72.122,    2.040
