# Hand-constructed for testing purposes May 3 2022
FIRST_RUN,LAST_RUN,RUNTYPE,URL
125,137,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220415.csv"
138,163,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220416.csv"
164,204,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220417.csv"
205,224,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220419.csv"
224,234,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220421.csv"
235,257,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220422.csv"
258,272,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220423.csv"
273,281,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220424_07.csv"
282,298,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220424_22.csv"
299,315,"ANY","${LDMX_CONDITION_BASEURL}/pedestals_20220426.csv"
