# Source file raw/calib/pedestal_DPM0_20220416_072438.raw
# Produced 2022-06-13 18:25:57 GMT
DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18800100,71.485,2.059
0x18800101,120.873,2.390
0x18800102,67.582,1.841
0x18800103,72.944,1.689
0x18800104,77.850,1.653
0x18800105,69.718,1.662
0x18800106,83.322,2.345
0x18800107,137.650,2.049
0x18800200,98.497,2.583
0x18800201,64.458,2.441
0x18800202,118.243,2.798
0x18800203,105.209,2.597
0x18800204,45.418,1.800
0x18800205,53.395,2.568
0x18800206,32.924,1.918
0x18800207,94.947,2.478
0x18800300,37.061,2.901
0x18800301,61.191,2.492
0x18800302,70.086,1.786
0x18800303,40.459,1.703
0x18800304,45.507,2.005
0x18800305,77.135,2.457
0x18800306,18.253,1.716
0x18800307,104.472,1.534
0x18800400,53.538,2.803
0x18800401,113.047,2.394
0x18800402,58.039,1.694
0x18800403,69.775,2.528
0x18800404,58.676,2.705
0x18800405,64.852,1.422
0x18800406,57.905,2.309
0x18800407,64.837,1.759
0x18800500,47.912,1.678
0x18800501,37.520,1.905
0x18800502,52.121,2.052
0x18800503,67.177,2.205
0x18800504,40.236,1.584
0x18800505,108.609,2.098
0x18800506,87.272,1.911
0x18800507,94.889,1.993
0x18800600,72.948,2.250
0x18800601,98.693,2.653
0x18800602,82.744,1.823
0x18800603,133.497,1.470
0x18800604,96.294,2.043
0x18800605,73.041,2.259
0x18800606,72.751,2.059
0x18800607,46.303,2.094
0x18800700,72.036,1.752
0x18800701,67.464,1.700
0x18800702,53.886,2.043
0x18800703,81.555,1.903
0x18800704,63.877,1.718
0x18800705,53.018,1.759
0x18800706,79.272,1.857
0x18800707,72.515,1.788
0x18800800,92.131,2.027
0x18800801,33.900,1.813
0x18800802,67.004,1.844
0x18800803,52.665,2.128
0x18800804,44.904,1.733
0x18800805,55.397,1.978
0x18800806,101.381,1.577
0x18800807,49.658,2.339
0x18800900,73.152,2.770
0x18800901,45.779,1.774
0x18800902,83.967,3.052
0x18800903,53.942,2.002
0x18800904,72.272,2.787
0x18800905,61.022,2.678
0x18800906,119.897,2.684
0x18800907,97.195,2.528
0x18800a00,91.308,1.807
0x18800a01,104.568,2.414
0x18800a02,55.381,2.529
0x18800a03,80.958,2.863
0x18800a04,85.036,2.306
0x18800a05,44.887,1.994
0x18800a06,59.737,1.916
0x18800a07,49.949,3.094
0x18800a08,56.134,2.330
0x18800a09,81.197,2.154
0x18800a0a,53.690,1.889
0x18800a0b,84.630,1.627
0x18800b00,53.031,1.934
0x18800b01,48.167,1.716
0x18800b02,50.724,2.244
0x18800b03,77.824,2.252
0x18800b04,77.828,2.237
0x18800b05,23.809,1.662
0x18800b06,46.382,1.891
0x18800b07,60.516,1.935
0x18800b08,47.328,1.858
0x18800b09,58.903,1.416
0x18800b0a,65.876,2.082
0x18800b0b,35.516,2.106
0x18880100,66.244,1.933
0x18880101,90.132,2.122
0x18880102,89.481,1.965
0x18880103,55.968,2.755
0x18880104,86.977,2.366
0x18880105,60.594,2.629
0x18880106,36.628,1.817
0x18880107,94.780,2.359
0x18880200,60.125,2.904
0x18880201,63.206,2.349
0x18880202,124.422,2.641
0x18880203,77.635,1.898
0x18880204,77.686,1.682
0x18880205,82.457,1.942
0x18880206,71.172,1.608
0x18880207,74.108,2.302
0x18880300,73.542,1.331
0x18880301,86.856,1.809
0x18880302,41.855,2.268
0x18880303,58.059,2.185
0x18880304,48.006,2.479
0x18880305,72.043,2.460
0x18880306,31.347,2.269
0x18880307,63.519,1.747
0x18880400,86.772,1.984
0x18880401,72.698,2.419
0x18880402,58.503,2.208
0x18880403,62.840,2.318
0x18880404,118.117,1.593
0x18880405,69.505,1.793
0x18880406,89.895,2.074
0x18880407,24.509,2.502
0x18880500,150.168,2.411
0x18880501,72.574,2.608
0x18880502,65.034,2.185
0x18880503,63.213,2.172
0x18880504,154.733,1.383
0x18880505,72.365,1.785
0x18880506,101.151,2.092
0x18880507,106.826,2.045
0x18880600,78.774,1.579
0x18880601,72.291,1.635
0x18880602,69.138,2.074
0x18880603,77.463,1.986
0x18880604,139.895,1.560
0x18880605,73.156,2.017
0x18880606,79.282,1.384
0x18880607,95.028,1.437
0x18880700,27.729,2.251
0x18880701,94.253,1.543
0x18880702,44.264,1.851
0x18880703,81.017,2.115
0x18880704,89.563,2.070
0x18880705,74.281,1.724
0x18880706,31.303,1.710
0x18880707,28.865,1.668
0x18880800,89.663,2.123
0x18880801,77.028,1.615
0x18880802,86.597,2.113
0x18880803,36.653,2.147
0x18880804,63.707,2.308
0x18880805,106.234,1.346
0x18880806,85.333,2.322
0x18880807,107.758,1.455
0x18880900,64.824,2.694
0x18880901,36.011,2.145
0x18880902,42.063,1.823
0x18880903,66.761,2.644
0x18880904,89.199,1.815
0x18880905,72.759,2.451
0x18880906,75.180,2.586
0x18880907,81.892,2.781
0x18880a00,59.129,2.806
0x18880a01,121.812,1.569
0x18880a02,74.436,1.476
0x18880a03,116.203,1.582
0x18880a04,59.894,2.200
0x18880a05,53.070,2.628
0x18880a06,79.402,2.595
0x18880a07,73.509,2.159
0x18880a08,72.421,1.450
0x18880a09,67.620,1.489
0x18880a0a,39.362,2.036
0x18880a0b,61.237,2.193
0x18880b00,51.487,2.108
0x18880b01,50.760,2.086
0x18880b02,63.446,1.512
0x18880b03,79.400,2.183
0x18880b04,53.566,1.836
0x18880b05,39.078,2.226
0x18880b06,50.839,2.169
0x18880b07,58.635,2.186
0x18880b08,69.758,2.294
0x18880b09,51.746,1.648
0x18880b0a,61.701,1.965
0x18880b0b,27.142,2.470
# Source file raw/calib/pedestal_DPM1_20220416_072703.raw
# Produced 2022-06-13 18:26:23 GMT
0x18800c00,92.724,2.165
0x18800c01,145.313,6.430
0x18800c02,86.545,2.395
0x18800c03,46.072,2.540
0x18800c04,98.998,2.721
0x18800c05,86.713,2.456
0x18800c06,89.147,2.335
0x18800c07,85.454,2.257
0x18800c08,103.357,2.380
0x18800c09,80.544,2.400
0x18800c0a,105.717,2.207
0x18800c0b,56.782,3.102
0x18800d00,62.732,2.555
0x18800d01,56.637,2.861
0x18800d02,75.998,2.363
0x18800d03,144.703,6.005
0x18800d04,130.834,1.960
0x18800d05,118.909,3.487
0x18800d06,94.454,3.726
0x18800d07,102.489,3.892
0x18800d08,146.501,26.965
0x18800d09,166.975,11.768
0x18800d0a,130.562,25.152
0x18800d0b,142.158,22.469
0x18800e00,125.603,3.459
0x18800e01,115.555,4.080
0x18800e02,166.721,5.726
0x18800e03,141.208,16.079
0x18800e04,115.820,3.815
0x18800e05,148.283,25.161
0x18800e06,154.202,21.868
0x18800e07,148.087,23.504
0x18800e08,93.777,1.803
0x18800e09,57.904,2.212
0x18800e0a,60.321,1.935
0x18800e0b,104.599,2.152
0x18800f00,98.728,2.463
0x18800f01,100.884,2.287
0x18800f02,114.073,2.383
0x18800f03,90.384,2.241
0x18800f04,78.237,1.993
0x18800f05,99.566,2.297
0x18800f06,131.944,2.279
0x18800f07,47.606,1.963
0x18800f08,99.900,2.441
0x18800f09,73.419,2.013
0x18800f0a,106.077,2.114
0x18800f0b,99.453,2.614
0x18801000,156.409,5.978
0x18801001,133.018,2.078
0x18801002,173.962,6.141
0x18801003,154.014,6.995
0x18801004,154.113,8.244
0x18801005,112.344,2.051
0x18801006,151.034,13.543
0x18801007,146.905,8.390
0x18801008,156.025,9.752
0x18801009,113.455,2.337
0x1880100a,144.220,8.092
0x1880100b,165.105,3.910
0x18801100,159.563,6.288
0x18801101,172.064,4.962
0x18801102,189.219,9.025
0x18801103,144.362,6.739
0x18801104,134.355,1.300
0x18801105,126.546,1.179
