layer,bar,Det_id_0,Det_id_1,bx_shift,mean_shift
0,0,411566336,411042048,470,-2.150537634408604
0,1,411566337,411042049,470,-12.438905180840667
0,2,411566338,411042050,470,-11.045943304007821
0,3,411566339,411042051,470,3.592375366568916
0,4,411566340,411042052,470,-8.455522971652004
0,5,411566341,411042053,470,5.009775171065495
0,6,411566342,411042054,470,-12.133431085043984
0,7,411566343,411042055,470,20.94330400782014
1,0,411566592,411042304,470,-16.617790811339198
1,1,411566593,411042305,470,12.585532746823068
1,2,411566594,411042306,470,-9.99511241446725
1,3,411566595,411042307,470,10.777126099706745
1,4,411566596,411042308,470,-0.19550342130987275
1,5,411566597,411042309,470,27.90811339198435
1,6,411566598,411042310,470,17.93743890518084
1,7,411566599,411042311,470,9.23753665689149
2,0,411566848,411042560,470,-2.565982404692079
2,1,411566849,411042561,470,-23.631476050830887
2,2,411566850,411042562,470,-13.514173998044967
2,3,411566851,411042563,470,2.126099706744867
2,4,411566852,411042564,470,-15.224828934506355
2,5,411566853,411042565,470,29.716520039100683
2,6,411566854,411042566,470,-3.910068426197462
2,7,411566855,411042567,470,-7.8690127077223835
3,0,411567104,411042816,470,36.058162267839684
3,1,411567105,411042817,470,10.997067448680355
3,2,411567106,411042818,470,23.826979472140764
3,3,411567107,411042819,470,8.553274682306935
3,4,411567108,411042820,470,16.837732160312807
3,5,411567109,411042821,470,-9.628543499511245
3,6,411567110,411042822,470,7.306940371456498
3,7,411567111,411042823,470,-2.1749755620723406
4,0,411567360,411043072,975,11.14369501466276
4,1,411567361,411043073,975,-0.14662756598239923
4,2,411567362,411043074,975,-5.840664711632456
4,3,411567363,411043075,975,-2.101661779081134
4,4,411567364,411043076,975,-2.24828934506354
4,5,411567365,411043077,975,11.901270772238512
4,6,411567366,411043078,975,19.403714565004883
4,7,411567367,411043079,975,-17.32649071358749
5,0,411567616,411043328,975,0.9286412512218956
5,1,411567617,411043329,975,9.13978494623656
5,2,411567618,411043330,975,-13.416422287390027
5,3,411567619,411043331,975,8.357771260997069
5,4,411567620,411043332,975,-0.7331378299120246
5,5,411567621,411043333,975,1.4907135874877788
5,6,411567622,411043334,975,3.6412512218963826
5,7,411567623,411043335,975,14.173998044965789
6,0,411567872,411043584,975,-17.717497556207228
6,1,411567873,411043585,975,1.4051808406647126
6,2,411567874,411043586,975,16.64222873900294
6,3,411567875,411043587,975,5.400782013685237
6,4,411567876,411043588,975,-3.8367546432062554
6,5,411567877,411043589,975,4.349951124144667
6,6,411567878,411043590,975,39.3206256109482
6,7,411567879,411043591,975,-16.263440860215052
7,0,411568128,411043840,975,-18.401759530791793
7,1,411568129,411043841,975,-4.276637341153474
7,2,411568130,411043842,975,-24.242424242424242
7,3,411568131,411043843,975,-9.579667644183779
7,4,411568132,411043844,975,-15.224828934506363
7,5,411568133,411043845,975,-21.236559139784944
7,6,411568134,411043846,975,-1.5884652981427223
7,7,411568135,411043847,975,6.549364613880741
8,0,411568384,411044096,716,19.94134897360704
8,1,411568385,411044097,716,1.5151515151515085
8,2,411568386,411044098,716,-9.579667644183772
8,3,411568387,411044099,716,-10.948191593352881
8,4,411568388,411044100,716,-18.279569892473116
8,5,411568389,411044101,716,11.583577712609973
8,6,411568390,411044102,716,-2.248289345063533
8,7,411568391,411044103,716,-4.56989247311828
9,0,411568640,411044352,716,-24.9266862170088
9,1,411568641,411044353,716,-6.0850439882697955
9,2,411568642,411044354,716,-26.759530791788848
9,3,411568643,411044355,716,1.8084066471163212
9,4,411568644,411044356,716,-3.54349951124145
9,5,411568645,411044357,716,-11.388074291300104
9,6,411568646,411044358,716,-3.9833822091886617
9,7,411568647,411044359,716,-24.425708699902245
9,8,411568648,411044360,716,-32.42913000977517
9,9,411568649,411044361,716,-4.276637341153474
9,10,411568650,411044362,716,-8.541055718475075
9,11,411568651,411044363,716,0.5131964809384186
10,0,411568896,411044608,980,0
10,1,411568897,411044609,980,-21.114369501466278
10,2,411568898,411044610,980,-23.240469208211152
10,3,411568899,411044611,980,-0.6598240469208179
10,4,411568900,411044612,980,-0.5865102639296254
10,5,411568901,411044613,980,-21.55425219941349
