DetID,m_adc_i,cut_point_tot,high_slope,high_offset,low_slope,low_power,low_offset,tot_not,channel,flagged
0x18880103,1364.638987,990.0,6.935260088,702.1474349,7.199426371,0.551617862,734.7506535,1036.472629,0,0
0x18880102,1402.870303,1159.0,6.860945686,654.0331589,11.44901437,0.476940351,711.8040538,1100.444894,1,0
0x18880101,1394.188871,1176.0,6.91219487,676.0766092,9.830637459,0.488831374,753.3584363,1093.634971,2,0
0x18880100,1349.753497,1164.666667,6.612941709,654.5648208,9.385444628,0.499316654,741.1940867,1058.778805,3,0
0x18800103,1577.416076,1053.333333,7.838727021,695.8988537,5.231669066,0.580563757,727.5500873,1080.237328,4,0
0x18800102,1411.923895,1246.666667,6.855305453,681.10596,7.180044945,0.515777308,807.2148402,1037.226319,5,0
0x18800101,1590.963373,836.3333333,0.0,0.0,0.0,0.0,0.0,0.0,6,1
0x18800100,1504.409715,1283.666667,7.299609801,662.640782,12.44708759,0.464625961,703.6222993,1105.168172,7,0
0x18880107,1369.337445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1
0x18880106,1509.340936,1045.666667,7.567435547,702.2605189,7.98345721,0.526811326,729.3111309,1146.376868,10,0
0x18880105,1276.507851,1277.0,6.323444584,669.8877259,15.6383178,0.441860586,720.8100924,1001.323175,11,0
0x18880104,1422.510624,1232.333333,6.976706548,671.1114065,8.708588343,0.500388855,758.6125519,1080.42738,12,0
0x18800107,1322.675063,1164.333333,6.466979897,652.3873713,12.89736427,0.463592591,721.4738053,1037.537836,13,0
0x18800106,1576.393225,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1
0x18800105,1408.331613,1113.666667,6.992698815,659.5325047,9.868105648,0.495978825,715.4739867,1139.799633,15,0
0x18800104,1513.140629,1098.666667,0.0,0.0,0.0,0.0,0.0,0.0,16,1
0x18880203,1444.612772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1
0x18880201,1571.624344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1
0x18880200,1324.422412,1021.333333,6.571024433,659.9428874,5.433065392,0.585827246,727.882386,1038.908499,21,0
0x18800203,1484.485624,1280.333333,7.253807196,663.1189431,12.13162677,0.464793478,716.1356159,1090.531554,22,0
0x18800202,1267.307725,1365.333333,0.0,0.0,0.0,0.0,0.0,0.0,23,1
0x18800201,1341.846327,1226.333333,6.595399688,666.8359385,12.96481633,0.458157161,732.3803011,985.7459958,24,0
0x18800200,1506.508855,1103.333333,7.530564872,690.6067622,7.127465065,0.541151149,730.2047189,1106.71024,25,0
0x18880207,1832.768539,682.6666667,0.0,0.0,0.0,0.0,0.0,0.0,27,1
0x18880206,1762.644717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1
0x18880205,1554.551677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1
0x18880204,1401.770047,1065.666667,7.004274508,663.2168887,9.24475042,0.51363042,684.4399261,1099.581827,30,0
0x18800207,1700.561552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1
0x18800206,1432.121574,1172.333333,7.075560779,688.1533292,6.54146104,0.523055656,793.4010903,1123.390288,32,0
0x18800205,1466.197099,1167.333333,7.165694412,657.1042181,12.09438899,0.464092361,716.1164344,1077.096453,33,0
0x18800204,1220.032664,1030.333333,6.22425593,688.7828925,4.406763473,0.615527751,765.4841405,1022.84965,34,0
0x18880703,1726.111459,1007.333333,8.370895407,650.1110575,5.03169075,0.587293405,643.6978456,1096.097633,0,0
0x18880702,1577.444588,1022.0,7.833227588,684.2098958,7.527123133,0.548408311,624.0951054,955.8636397,1,0
0x18880701,1797.51991,1088.333333,8.715936898,691.6632242,9.8784311,0.50064573,625.2502314,910.1699934,2,0
0x18880700,1809.151822,1175.0,8.729710119,673.3844965,12.67900092,0.465972928,603.4937428,961.1119053,3,0
0x18800703,1696.066341,1109.666667,8.191870452,676.8268442,9.026678048,0.51115712,618.2758072,943.2712706,4,0
0x18800702,1772.450367,1185.0,8.384869538,668.8944817,6.032321756,0.54531561,671.3626688,941.6142574,5,0
0x18800701,1412.402931,682.6666667,0.0,0.0,0.0,0.0,0.0,0.0,6,1
0x18800700,1752.572374,949.6666667,8.487231856,673.0316078,6.209545095,0.566800981,621.6018051,974.6972335,7,0
